time_seconds,true_label,true_state,predicted_label,predicted_state,raw_task_probability,smoothed_task_probability,model_latency_ms,pipeline_latency_ms,max_abs_uv
4.0,0,REST,0,REST,0.3749084174633026,0.3749084174633026,27.57279999786988,33.36380000109784,32.87799377544603
5.0,0,REST,0,REST,0.3670908212661743,0.37099961936473846,6.684399995720014,10.344099995563738,32.87799377544603
6.0,0,REST,0,REST,0.36715859174728394,0.369719276825587,8.026800001971424,11.216700004297309,32.87799377544603
7.0,0,REST,0,REST,0.3813355565071106,0.37262334674596786,8.152799986419268,10.385000001406297,34.05446545086413
8.0,0,REST,0,REST,0.3841283917427063,0.3749243557453156,6.489599996712059,10.570799990091473,34.05446545086413
9.0,0,REST,0,REST,0.3838985860347748,0.37672238945961,3.085699994699098,5.771500000264496,34.05446545086413
10.0,0,REST,0,REST,0.3538528084754944,0.374074786901474,7.285400002729148,10.701500010327436,35.21859461176558
11.0,0,REST,0,REST,0.3710743188858032,0.37485793232917786,3.459799991105683,5.302099991240539,35.21859461176558
12.0,0,REST,0,REST,0.37877795100212097,0.3743464112281799,5.7874999911291525,7.585500003187917,35.21859461176558
13.0,0,REST,0,REST,0.3899489641189575,0.3755105257034302,3.6244000075384974,5.285700011882,35.21859461176558
14.0,0,REST,0,REST,0.43012571334838867,0.38475595116615297,3.089099991484545,5.559200013522059,30.334065412183584
15.0,0,REST,0,REST,0.4031319320201874,0.39461177587509155,4.706699997768737,6.854499995824881,30.334065412183584
16.0,0,REST,0,REST,0.42009440064430237,0.40441579222679136,7.044900004984811,9.120499991695397,37.49032715741923
17.0,0,REST,0,REST,0.38279518485069275,0.40521923899650575,5.817400000523776,7.686899989494123,38.35586809027239
18.0,0,REST,0,REST,0.3443451225757599,0.3960984706878662,6.961699997191317,8.546199998818338,38.35586809027239
19.0,0,REST,0,REST,0.34847933053970337,0.37976919412612914,4.30259999120608,6.414300005417317,38.35586809027239
20.0,0,REST,0,REST,0.3607463538646698,0.37129207849502566,3.4783000010065734,5.08929998613894,38.35586809027239
21.0,0,REST,0,REST,0.3544577360153198,0.3581647455692291,4.605599999194965,6.37540000025183,33.068248934734235
22.0,0,REST,0,REST,0.37851592898368835,0.35730889439582825,3.28839999565389,6.172800000058487,33.068248934734235
23.0,0,REST,0,REST,0.39938220381736755,0.36831631064414977,3.880500007653609,6.4286999986507,33.068248934734235
24.0,0,REST,0,REST,0.3966241180896759,0.3779452681541443,4.13220000336878,5.950599996140227,35.79829426571009
25.0,0,REST,0,REST,0.4220116436481476,0.3901983261108398,3.68769999477081,5.289799999445677,35.79829426571009
26.0,0,REST,0,REST,0.38227441906929016,0.39576166272163393,3.605299993068911,5.437100000563078,35.79829426571009
27.0,0,REST,0,REST,0.34706541895866394,0.38947156071662903,4.126899992115796,5.911100000957958,35.79829426571009
28.0,0,REST,0,REST,0.34499746561050415,0.3785946130752563,4.038400002173148,5.840600002557039,28.77298209695756
29.0,0,REST,0,REST,0.338458776473999,0.36696154475212095,2.9202000005170703,4.298400002880953,28.77298209695756
30.0,0,REST,0,REST,0.32336321473121643,0.34723185896873476,3.855000002658926,5.495200006407686,28.77298209695756
34.0,1,TASK,0,REST,0.44885674118995667,0.44885674118995667,3.5684000031324103,6.451500012190081,36.62469983016107
35.0,1,TASK,0,REST,0.4628516733646393,0.455854207277298,4.098699995665811,5.946499994024634,33.52025581898559
36.0,1,TASK,0,REST,0.4186627268791199,0.44345704714457196,5.2435000106925145,7.9132000100798905,33.52025581898559
37.0,1,TASK,0,REST,0.4218412935733795,0.43805310875177383,7.732700003543869,12.558899994473904,33.52025581898559
38.0,1,TASK,0,REST,0.36412304639816284,0.42326709628105164,4.393099996377714,6.301700006588362,33.52025581898559
39.0,1,TASK,0,REST,0.3597096800804138,0.40543768405914304,8.469099993817508,10.380100007751025,57.75846413360686
40.0,1,TASK,0,REST,0.3973928391933441,0.39234591722488404,3.277999989222735,5.080100003397092,57.75846413360686
41.0,1,TASK,0,REST,0.4153817296028137,0.3916897177696228,8.54879998951219,10.50299999769777,57.75846413360686
42.0,1,TASK,0,REST,0.42260435223579407,0.39184232950210574,3.0775000050198287,5.62569999601692,57.75846413360686
43.0,1,TASK,0,REST,0.421448290348053,0.40330737829208374,7.2970999899553135,9.197599996696226,57.64390059791213
44.0,1,TASK,0,REST,0.4022839665412903,0.411822235584259,3.0048999906284735,5.568400010815822,46.52947541694649
45.0,1,TASK,0,REST,0.4139108955860138,0.41512584686279297,6.548500008648261,8.038999993004836,46.52947541694649
46.0,1,TASK,0,REST,0.3987780809402466,0.41180511713027956,3.3051999926101416,4.898799990769476,46.52947541694649
47.0,1,TASK,0,REST,0.4121191203594208,0.40970807075500487,3.5740000021178275,5.270400011795573,41.35833601606821
48.0,1,TASK,0,REST,0.40438708662986755,0.4062958300113678,6.423700004233979,7.963699987158179,41.35833601606821
49.0,1,TASK,0,REST,0.42229369282722473,0.4102977752685547,4.748899998958223,8.195000002160668,39.579253593162434
50.0,1,TASK,0,REST,0.4033430516719818,0.40818420648574827,6.030000004102476,7.690400001592934,39.644820604927816
51.0,1,TASK,0,REST,0.3989326059818268,0.4082151114940643,3.3869000035338104,5.236800003331155,39.644820604927816
52.0,1,TASK,0,REST,0.404554545879364,0.40670219659805296,7.484400004614145,9.243100008461624,39.644820604927816
53.0,1,TASK,0,REST,0.41290444135665894,0.40840566754341123,3.4675999922910705,5.082299991045147,39.644820604927816
54.0,1,TASK,0,REST,0.42366522550582886,0.4086799740791321,4.62409999454394,6.1332999903243035,32.54005623824497
55.0,1,TASK,0,REST,0.3971843123435974,0.4074482262134552,5.7274000137113035,7.861400008550845,32.54005623824497
56.0,1,TASK,0,REST,0.40133893489837646,0.40792949199676515,2.96840000373777,4.3528999958653,32.54005623824497
57.0,1,TASK,0,REST,0.33510488271713257,0.39403955936431884,4.043300010380335,5.6834999995771796,32.54005623824497
58.0,1,TASK,0,REST,0.3041648864746094,0.37229164838790896,3.751099997316487,5.703899994841777,35.51256841877457
59.0,1,TASK,0,REST,0.3074718117713928,0.34905296564102173,4.640999992261641,6.323599998722784,35.51256841877457
60.0,1,TASK,0,REST,0.3072982430458069,0.33107575178146365,5.454899990581907,7.241899991640821,35.51256841877457
